,voivodeship,year,month,vehicles,date
60,świętokrzyskie,2022,4,3982,04-2022
61,warmińsko-mazurskie,2022,4,4284,04-2022
62,wielkopolskie,2022,4,17798,04-2022
63,zachodniopomorskie,2022,4,4916,04-2022
64,dolnośląskie,2022,5,10694,05-2022
65,kujawsko-pomorskie,2022,5,6565,05-2022
66,lubelskie,2022,5,7227,05-2022
67,lubuskie,2022,5,4100,05-2022
68,łódzkie,2022,5,8568,05-2022
69,małopolskie,2022,5,12352,05-2022
70,mazowieckie,2022,5,29620,05-2022
71,opolskie,2022,5,3133,05-2022
72,podkarpackie,2022,5,7299,05-2022
73,podlaskie,2022,5,4098,05-2022
74,pomorskie,2022,5,8322,05-2022
75,śląskie,2022,5,14399,05-2022
76,świętokrzyskie,2022,5,4328,05-2022
77,warmińsko-mazurskie,2022,5,4092,05-2022
78,wielkopolskie,2022,5,17973,05-2022
79,zachodniopomorskie,2022,5,5118,05-2022
80,dolnośląskie,2022,6,10965,06-2022
81,kujawsko-pomorskie,2022,6,6334,06-2022
82,lubelskie,2022,6,7112,06-2022
83,lubuskie,2022,6,4073,06-2022
84,łódzkie,2022,6,8461,06-2022
85,małopolskie,2022,6,13162,06-2022
86,mazowieckie,2022,6,30427,06-2022
87,opolskie,2022,6,3269,06-2022
88,podkarpackie,2022,6,7106,06-2022
89,podlaskie,2022,6,3951,06-2022
90,pomorskie,2022,6,8444,06-2022
91,śląskie,2022,6,14530,06-2022
92,świętokrzyskie,2022,6,4209,06-2022
93,warmińsko-mazurskie,2022,6,4022,06-2022
94,wielkopolskie,2022,6,17562,06-2022
95,zachodniopomorskie,2022,6,5246,06-2022
96,dolnośląskie,2022,7,9591,07-2022
97,kujawsko-pomorskie,2022,7,6135,07-2022
98,lubelskie,2022,7,6734,07-2022
99,lubuskie,2022,7,3849,07-2022
100,łódzkie,2022,7,7954,07-2022
101,małopolskie,2022,7,11445,07-2022
102,mazowieckie,2022,7,26746,07-2022
103,opolskie,2022,7,2931,07-2022
104,podkarpackie,2022,7,6940,07-2022
105,podlaskie,2022,7,3971,07-2022
106,pomorskie,2022,7,7864,07-2022
107,śląskie,2022,7,12898,07-2022
108,świętokrzyskie,2022,7,4086,07-2022
109,warmińsko-mazurskie,2022,7,3806,07-2022
110,wielkopolskie,2022,7,15795,07-2022
111,zachodniopomorskie,2022,7,4770,07-2022
112,dolnośląskie,2022,8,9305,08-2022
113,kujawsko-pomorskie,2022,8,5673,08-2022
114,lubelskie,2022,8,6831,08-2022
115,lubuskie,2022,8,3810,08-2022
116,łódzkie,2022,8,7128,08-2022
117,małopolskie,2022,8,10824,08-2022
118,mazowieckie,2022,8,26313,08-2022
119,opolskie,2022,8,2808,08-2022
120,podkarpackie,2022,8,6709,08-2022
121,podlaskie,2022,8,3652,08-2022
122,pomorskie,2022,8,7590,08-2022
123,śląskie,2022,8,12566,08-2022
124,świętokrzyskie,2022,8,4162,08-2022
125,warmińsko-mazurskie,2022,8,3792,08-2022
126,wielkopolskie,2022,8,15437,08-2022
127,zachodniopomorskie,2022,8,4651,08-2022
128,dolnośląskie,2022,9,9689,09-2022
129,kujawsko-pomorskie,2022,9,6006,09-2022
130,lubelskie,2022,9,6933,09-2022
131,lubuskie,2022,9,3717,09-2022
132,łódzkie,2022,9,7893,09-2022
133,małopolskie,2022,9,11719,09-2022
134,mazowieckie,2022,9,28344,09-2022
135,opolskie,2022,9,2818,09-2022
136,podkarpackie,2022,9,6591,09-2022
137,podlaskie,2022,9,3648,09-2022
138,pomorskie,2022,9,7489,09-2022
139,śląskie,2022,9,13031,09-2022
140,świętokrzyskie,2022,9,4136,09-2022
141,warmińsko-mazurskie,2022,9,3842,09-2022
142,wielkopolskie,2022,9,16295,09-2022
143,zachodniopomorskie,2022,9,4855,09-2022
144,dolnośląskie,2022,10,9170,10-2022
145,kujawsko-pomorskie,2022,10,5634,10-2022
146,lubelskie,2022,10,6331,10-2022
147,lubuskie,2022,10,3660,10-2022
148,łódzkie,2022,10,7155,10-2022
149,małopolskie,2022,10,10320,10-2022
150,mazowieckie,2022,10,26121,10-2022
151,opolskie,2022,10,2721,10-2022
152,podkarpackie,2022,10,6189,10-2022
153,podlaskie,2022,10,3412,10-2022
154,pomorskie,2022,10,7075,10-2022
155,śląskie,2022,10,12033,10-2022
156,świętokrzyskie,2022,10,3614,10-2022
157,warmińsko-mazurskie,2022,10,3432,10-2022
158,wielkopolskie,2022,10,15609,10-2022
159,zachodniopomorskie,2022,10,4403,10-2022
160,dolnośląskie,2022,11,,11-2022
161,kujawsko-pomorskie,2022,11,,11-2022
162,lubelskie,2022,11,,11-2022
163,lubuskie,2022,11,,11-2022
164,łódzkie,2022,11,,11-2022
165,małopolskie,2022,11,,11-2022
166,mazowieckie,2022,11,,11-2022
167,opolskie,2022,11,,11-2022
168,podkarpackie,2022,11,,11-2022
169,podlaskie,2022,11,,11-2022
170,pomorskie,2022,11,,11-2022
171,śląskie,2022,11,,11-2022
172,świętokrzyskie,2022,11,,11-2022
173,warmińsko-mazurskie,2022,11,,11-2022
174,wielkopolskie,2022,11,,11-2022
175,zachodniopomorskie,2022,11,,11-2022
176,dolnośląskie,2022,12,,12-2022
177,kujawsko-pomorskie,2022,12,,12-2022
178,lubelskie,2022,12,,12-2022
179,lubuskie,2022,12,,12-2022
180,łódzkie,2022,12,,12-2022
181,małopolskie,2022,12,,12-2022
182,mazowieckie,2022,12,,12-2022
183,opolskie,2022,12,,12-2022
184,podkarpackie,2022,12,,12-2022
185,podlaskie,2022,12,,12-2022
186,pomorskie,2022,12,,12-2022
187,śląskie,2022,12,,12-2022
188,świętokrzyskie,2022,12,,12-2022
189,warmińsko-mazurskie,2022,12,,12-2022
190,wielkopolskie,2022,12,,12-2022
191,zachodniopomorskie,2022,12,,12-2022
