WOJEWÓDZTWO|TERYT|2017.01|2017.02|2017.03|2017.04|2017.05|2017.06|2017.07|2017.08|2017.09|2017.10|2017.11|2017.12|
Dolnoœl¹skie|02|9163|9380|12585|10925|11470|11863|||||||
Kujawsko-pomorskie|04|5790|5994|7883|7020|7256|7416|||||||
Lubelskie|06|5873|6084|8412|7250|7573|7441|||||||
Lubuskie|08|3638|3868|4954|4021|4520|4418|||||||
£ódzkie|10|6959|7640|10207|8910|9405|9395|||||||
Ma³opolskie|12|10492|11086|14743|12680|13740|13942|||||||
Mazowieckie|14|23190|24955|34164|29017|30893|30945|||||||
Opolskie|16|2689|2810|3560|3121|3333|3387|||||||
Podkarpackie|18|5773|6550|8955|7888|8197|7886|||||||
Podlaskie|20|3160|3000|4576|4009|4121|4061|||||||
Pomorskie|22|6671|7289|9965|8507|8843|9106|||||||
Œl¹skie|24|13220|14719|19089|15732|16823|16832|||||||
Œwiêtokrzyskie|26|3788|3879|5094|4411|4772|4741|||||||
Warmiñsko-mazurskie|28|3128|3380|4867|4480|4551|4692|||||||
Wielkopolskie|30|15125|15459|20993|17902|18719|19177|||||||
Zachodniopomorskie|32|4418|4590|6016|5310|5681|5813|||||||
||||||||||||||
||||||||||||||
