WOJEWÓDZTWO|TERYT|2019.01|2019.02|2019.03|2019.04|2019.05|2019.06|2019.07|2019.08|2019.09|2019.10|2019.11|2019.12|
Dolnoœl¹skie|02|10777|11015|13309|13825|13144|11995|13589|12150|11136|12848|10844|11411|
Kujawsko-pomorskie|04|6703|6990|8178|8681|8121|7221|8418|7720|6604|7547|6478|6825|
Lubelskie|06|6752|7001|8590|8990|8095|7393|8860|7987|7092|8128|6770|7381|
Lubuskie|08|4205|4341|5129|5222|4883|4343|5094|4598|4220|4969|4065|3978|
£ódzkie|10|8850|8692|10472|10439|10166|9104|10528|8991|8553|9958|8676|8615|
Ma³opolskie|12|12231|13338|15643|15767|15043|13951|16076|14296|12574|14618|12634|12973|
Mazowieckie|14|26502|27185|33926|34114|34501|32326|35502|31812|26627|32759|27816|30608|
Opolskie|16|3460|3430|3855|4001|3605|3383|3987|3683|3256|3681|3098|3454|
Podkarpackie|18|6988|7233|8719|9339|8596|7484|9178|8768|7494|8627|7112|7608|
Podlaskie|20|3725|4036|4837|5034|4682|4054|5023|4319|3801|4370|3660|4012|
Pomorskie|22|8786|8932|10584|10913|10334|9836|10507|10049|8551|9971|8276|8604|
Œl¹skie|24|15778|16250|19619|19166|18347|16839|18546|17072|15066|17489|15080|16103|
Œwiêtokrzyskie|26|4236|4339|5118|5344|5009|4503|5359|4881|4464|5128|4398|4516|
Warmiñsko-mazurskie|28|3845|4081|5193|5633|5190|4669|5423|4822|4397|4858|4157|4276|
Wielkopolskie|30|17442|18632|21662|22354|21120|18782|20973|18482|17019|20557|17153|18431|
Zachodniopomorskie|32|5252|5187|6143|6450|6414|5652|6642|5977|5342|6181|5412|5320|
