WOJEWÓDZTWO|TERYT|2015.01|2015.02|2015.03|2015.04|2015.05|2015.06|2015.07|2015.08|2015.09|2015.10|2015.11|2015.12
Dolnoœl¹skie|02|8072|8489|10844|10729|10052|10243|11215|8835|9901|9857|8872|8854
Kujawsko-pomorskie|04|5648|5820|7520|7428|6752|6976|7493|6065|6678|6435|5632|5885
Lubelskie|06|5396|5562|7193|7205|6477|6830|7608|6212|6497|6326|5802|6118
Lubuskie|08|3354|3575|4361|4285|4248|4175|4663|3750|4295|4174|3538|3499
£ódzkie|10|6503|6506|8574|8501|7959|8389|8875|6804|8056|7457|6870|6976
Ma³opolskie|12|9416|9110|12022|12049|11450|11753|12945|10240|10866|10787|9611|10455
Mazowieckie|14|18240|20306|26636|25281|24379|26532|26452|21307|23752|23846|22713|23909
Opolskie|16|2629|2580|3269|3346|3053|3166|3395|2848|3023|2876|2462|2692
Podkarpackie|18|5598|5423|7115|6875|6421|6769|7985|6644|6691|6247|5998|6521
Podlaskie|20|2716|3090|4135|3923|3618|3729|4213|3276|3328|3232|2865|3385
Pomorskie|22|6285|6594|8557|8397|7887|8037|8764|7102|7399|7530|6758|6948
Œl¹skie|24|11957|11856|16007|15193|14231|14972|15402|12475|13790|13621|12434|13196
Œwiêtokrzyskie|26|3394|3381|4427|4439|4128|4377|5001|3997|4170|3876|3472|3699
Warmiñskie-mazurskie|28|3052|3235|4397|4349|3964|4228|4721|3843|4041|3859|3206|3523
Wielkopolskie|30|13557|14064|18183|17827|16917|17345|18625|14292|16445|16087|14349|15349
Zachodniopomorskie|32|4245|4300|5500|5503|5293|5350|6030|4944|5227|5270|4500|5081
